id,name
1,Bay
2,Madison
3,Broward
4,Columbia
5,Baker
6,Hendry
7,Holmes
8,Hernando
9,Highlands
10,Flagler
11,Hillsborough
12,Liberty
13,Levy
14,Leon
15,Lee
16,St. Lucie
17,Gadsden
18,Santa Rosa
19,Clay
20,Sarasota
21,Seminole
22,Charlotte
23,Sumter
24,Duval
25,Franklin
26,Calhoun
27,Jefferson
28,Orange
29,Osceola
30,Okaloosa
31,Okeechobee
32,Washington
33,Walton
34,Palm Beach
35,Nassau
36,Lake
37,Gilchrist
38,DeSoto
39,Collier
40,Gulf
41,Indian River
42,Hardee
43,Dixie
44,Lafayette
45,Putnam
46,Polk
47,Pinellas
48,Pasco
49,Miami-Dade
50,Bradford
51,Brevard
52,Jackson
53,St. Johns
54,Alachua
55,Wakulla
56,Monroe
57,Martin
58,Marion
59,Manatee
60,Suwannee
61,Escambia
62,Taylor
63,Citrus
64,Union
65,Glades
66,Volusia
67,Hamilton
