id,case_id,tag_id
29025,196,2
29026,196,3
29027,196,4
29029,196,55
34371,582,56
34374,582,38
34375,582,23
32634,903,32
32636,903,2
32637,903,3
32638,903,65
32639,903,9
32640,903,24
32747,927,32
32749,927,27
32750,927,12
32751,927,65
32945,1126,32
32946,1126,27
29282,355,40
32947,1126,12
33049,1144,56
30977,612,65
31070,637,13
31071,637,50
34486,346,39
34487,346,20
31145,652,45
31146,652,46
31147,652,55
34488,346,65
34600,882,2
33156,102,8
31220,671,12
31221,671,13
33158,102,27
33160,102,13
31222,671,65
29283,355,10
29284,355,50
29285,355,24
29362,1108,23
29967,1068,19
30050,405,64
34057,404,2
31371,1025,18
31373,1025,65
30052,405,2
34058,404,4
34059,404,38
34060,404,9
5548,62,10
5549,62,3
34061,404,55
30054,405,55
31430,1005,2
31431,1005,9
31432,1005,55
31486,999,43
34170,1056,56
34171,1056,18
31487,999,28
34172,1056,19
34265,916,2
34266,916,38
34267,916,65
34268,916,46
34270,916,58
34271,916,59
30130,1050,24
34355,601,35
34356,601,65
34357,601,39
34358,601,12
34359,601,27
4057,407,2
30132,1050,2
30133,1050,18
31637,703,2
30206,1039,64
31638,703,9
31639,703,13
31640,703,55
31641,703,59
29440,430,56
29443,430,30
30399,182,42
30400,182,20
30402,182,55
30437,268,9
30438,268,2
30439,268,3
30440,268,55
30473,305,56
30475,305,20
30524,42,10
30541,48,64
30543,48,2
3240,719,32
3242,719,3
3243,719,8
3244,719,13
3245,719,35
3246,719,21
3247,719,24
4187,197,8
34377,698,18
32641,904,32
31835,970,39
29031,248,18
29032,248,19
31837,970,65
31890,957,32
31891,957,64
31892,957,18
31893,957,46
29033,248,55
32643,904,2
32644,904,3
34378,698,19
29867,395,32
29869,395,43
29870,395,44
29871,395,13
34490,1111,55
29872,395,46
34491,1111,65
34602,882,43
33730,216,3
33731,216,4
30881,590,18
30882,590,39
33733,216,46
3783,386,19
33151,636,9
33152,636,2
33153,636,55
33154,636,13
33155,636,65
34604,882,24
34708,770,27
34709,770,43
34710,770,35
33263,661,65
33264,661,58
33265,661,28
33735,216,55
33736,216,28
31073,638,2
33846,113,32
29873,395,50
31074,638,55
31075,638,65
29287,173,19
31148,653,64
34711,770,12
34712,770,55
34802,177,8
29288,173,20
29874,395,20
29289,173,13
29970,209,2
29364,394,18
29365,394,23
29367,394,55
29444,117,32
34804,177,27
14416,148,2
14417,148,3
31150,653,18
33848,113,3
33849,113,43
33850,113,64
29971,209,9
34176,1062,46
30055,1058,64
30056,1058,18
30057,1058,27
31151,653,37
31152,653,23
34805,177,64
34901,664,64
34904,664,23
34177,1062,65
34272,885,40
30058,1058,12
34905,664,12
34906,664,18
34907,664,55
34275,885,46
34360,60,24
34362,60,2
34364,60,65
34908,664,27
35017,1032,32
35019,1032,40
35020,1032,18
