id,name
2,"Appeared mentally unstable"
3,"Drugs in system"
4,"Alcohol in system"
8,"Search warrant"
9,"Suicide by cop"
10,"Traffic stop"
12,"Undercover sting"
13,"SWAT or tactical team involved"
18,"Fleeing scene"
19,"Foot pursuit"
20,"Arrest warrant"
21,"Attempted homicide"
23,"Armed robbery"
24,"Approached police threateningly"
27,"Drug investigation"
28,"Domestic disturbance"
30,"Injured an officer with vehicle"
32,"Resisting arrest"
35,"Narcotics unit"
37,"Innocent bystander"
38,"Shot in the back"
39,"Reaching but unarmed"
40,"Minor offense"
42,"Homicide"
43,"Injured a police officer"
44,"Killed a police officer"
45,"Answered door holding a gun"
46,"Lawsuit filed"
50,"Refused to go to jail"
55,"Pointed weapon at police"
56,"Drove at officer"
58,"Conflicting accounts"
59,"Someone made a mental health call"
64,"Shot at police"
65,"Failed to follow orders"
